Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2020-09-10,01001,SK Flensburg,4,4.46907400786557
2020-09-10,01002,SK Kiel,9,3.635658538950022
2020-09-10,01003,SK Lübeck,8,3.6832751682796347
2020-09-10,01004,SK Neumünster,12,15.096808283115477
2020-09-10,01051,LK Dithmarschen,16,12.01111027700623
2020-09-10,01053,LK Herzogtum Lauenburg,4,2.0277394760321195
2020-09-10,01054,LK Nordfriesland,2,1.2084081035847427
2020-09-10,01055,LK Ostholstein,0,0.0
2020-09-10,01056,LK Pinneberg,21,6.679580522343198
2020-09-10,01057,LK Plön,0,0.0
2020-09-10,01058,LK Rendsburg-Eckernförde,4,1.4664100449088076
2020-09-10,01059,LK Schleswig-Flensburg,3,1.4998125234345707
2020-09-10,01060,LK Segeberg,10,3.6227683746811965
2020-09-10,01061,LK Steinburg,1,0.7613420938430265
2020-09-10,01062,LK Stormarn,14,5.756673629500485
2020-09-10,02000,SK Hamburg,213,11.56867420277985
2020-09-10,03101,SK Braunschweig,7,2.819261192466934
2020-09-10,03102,SK Salzgitter,8,7.622822731257385
2020-09-10,03103,SK Wolfsburg,7,5.638295301689072
2020-09-10,03151,LK Gifhorn,13,7.389722601182355
2020-09-10,03153,LK Goslar,3,2.1895572715196985
2020-09-10,03154,LK Helmstedt,0,0.0
2020-09-10,03155,LK Northeim,4,3.0128422400482053
2020-09-10,03157,LK Peine,4,2.985854514238794
2020-09-10,03158,LK Wolfenbüttel,0,0.0
2020-09-10,03159,LK Göttingen,23,7.010613459158604
2020-09-10,03241,Region Hannover,169,14.598868026233044
2020-09-10,03251,LK Diepholz,11,5.071788866040224
2020-09-10,03252,LK Hameln-Pyrmont,4,2.6925329330434375
2020-09-10,03254,LK Hildesheim,12,4.3384889043146275
2020-09-10,03255,LK Holzminden,5,7.044734061289186
2020-09-10,03256,LK Nienburg (Weser),0,0.0
2020-09-10,03257,LK Schaumburg,25,15.844746832635106
2020-09-10,03351,LK Celle,24,13.41261680153798
2020-09-10,03352,LK Cuxhaven,6,3.0270466619242935
2020-09-10,03353,LK Harburg,20,7.9121435579327155
2020-09-10,03354,LK Lüchow-Dannenberg,2,4.130183380142078
2020-09-10,03355,LK Lüneburg,3,1.6360185851711275
2020-09-10,03356,LK Osterholz,9,7.928327915642591
2020-09-10,03357,LK Rotenburg (Wümme),4,2.4471567097978038
2020-09-10,03358,LK Heidekreis,0,0.0
2020-09-10,03359,LK Stade,15,7.385451644986262
2020-09-10,03360,LK Uelzen,0,0.0
2020-09-10,03361,LK Verden,4,2.924147610971402
2020-09-10,03401,SK Delmenhorst,5,6.4427177960750965
